train_loss,train_iou,train_acc,val_loss,val_iou,val_acc
0.4602556182723753,0.3241918087005615,0.7343745231628418,0.37082801293581724,0.46853822469711304,0.8109014630317688
0.36040029422241765,0.4871780276298523,0.7867693305015564,0.3545311981812119,0.5080292820930481,0.8181189894676208
0.33267055714831634,0.5274721384048462,0.8018097877502441,0.338259463571012,0.541191041469574,0.8248084187507629
0.3210855334245858,0.5430341958999634,0.8082790374755859,0.32957722507417203,0.5529980063438416,0.8284736275672913
0.31247950297276844,0.554161012172699,0.8129934668540955,0.32724410444498064,0.5517103672027588,0.8326268196105957
0.30282236915342614,0.5656081438064575,0.8190213441848755,0.3215031150728464,0.5618179440498352,0.8341633677482605
0.29606486940417304,0.5717862844467163,0.8216416835784912,0.317351858317852,0.5666800737380981,0.8364588022232056
0.29282674247644197,0.5771806836128235,0.8240016102790833,0.31579872835427525,0.5665836334228516,0.8362279534339905
0.2900625483161595,0.5796427130699158,0.8256929516792297,0.3139235632494092,0.569774866104126,0.8382479548454285
0.2887612564974472,0.5812746286392212,0.825803279876709,0.3128413463011384,0.5711907148361206,0.8378318548202515
0.29966708333218467,0.5699202418327332,0.8194500207901001,0.3205161239951849,0.5631042122840881,0.836399257183075
0.2957502116843098,0.5722918510437012,0.8203901648521423,0.3140206761658192,0.5676128268241882,0.8352948427200317
0.2922285878274287,0.5769246220588684,0.8235660195350647,0.30729237515479324,0.5788306593894958,0.8403448462486267
0.2855395485206145,0.5849325656890869,0.8264520168304443,0.30787374805659057,0.5775547623634338,0.8377639651298523
0.2810253367787984,0.5892491340637207,0.8290016651153564,0.30203699357807634,0.5837574601173401,0.8425706028938293
0.28114919948811623,0.5888276100158691,0.8290701508522034,0.3010879512876272,0.5856446027755737,0.8412235975265503
0.27680642593975496,0.5947328805923462,0.8311198353767395,0.29982939176261425,0.5860505700111389,0.8418450355529785
0.2742940319352457,0.5984139442443848,0.8331149220466614,0.29570724423974754,0.5890311002731323,0.843477189540863
0.27041434928649616,0.6018993258476257,0.8350214958190918,0.2961490198969841,0.5878267288208008,0.8426957130432129
0.268449606890438,0.6052975654602051,0.8355972170829773,0.29294565189629795,0.5941083431243896,0.8444885015487671
0.26558479061480667,0.6078343391418457,0.8375601172447205,0.2919153645634651,0.5953413248062134,0.8464784026145935
0.2657842352276757,0.608453631401062,0.8378358483314514,0.29025353835895656,0.5984535813331604,0.8467197418212891
0.2625946252703333,0.6104850172996521,0.8385785818099976,0.28824455766007306,0.6002388000488281,0.8467702865600586
0.2607969260599767,0.6143538951873779,0.8397790193557739,0.28819124326109885,0.599689245223999,0.8481844663619995
0.2598871152107121,0.6162064075469971,0.84028160572052,0.28642691792920233,0.600481390953064,0.8482808470726013
